S.No,company_name,job_role,allowed_departments,min_cgpa,required_skills,arrival_day,min_offers,max_offers
104,JPMC,Finance,ALL,8,"DSA (DP, graph, sliding window, trees, binary search), CP,Probability",1,3,6
105,JPMC,Quant,ALL,8,"DSA (DP, graph, sliding window, trees, binary search), CP,Probability",1,3,6
106,Proctor and Gamble,Consultinig,ALL,8,"Good Communication skills,Management Experience,Guesstimates , C , C++ , Python , DSA",1,3,5
107,Quadeye,Quant,"CS, EC, MA",9,"Good Communication skills,Management Experience,Guesstimates , C , C++ , Python , DSA",1,2,6
108,Rubrik,SDE,Circuital,8,"DSA (DP, graph, sliding window, trees, binary search), CP",1,2,4
109,Trexquant,Quant,ALL,9,"DSA (DP, graph, sliding window, trees, binary search), CP,Probability",1,0,2
110,UBER,SDE,ALL,8,"DSA (DP, graph, sliding window, trees, binary search), CP",1,2,4
111,BAJAJ,CORE,"CSE,ECE,EE,ME,MT",7,"Good skills in Analog Electronics,Digital Electronics",2,5,8
112,Blackrock,Finance,ALL,7.5,"DSA, Finance Concepts, Market Basics",1,3,7
113,Blackrock,Data,ALL,7.5,DSA,1,3,7
114,Stripe,Data,"CSE,ECE,EE,MNC",7.5,DSA,1,3,5
115,Accenture Strategy,AI,ALL,7.5,DSA,3,5,8
116,Axxela,Finance,ALL,7,"Finance Basics, Market Knowledge, DSA",3,4,6
117,Devrev,SDE,"CSE,ECE,EE,IM,MA",7,"DSA (DP, graph, sliding window, trees, binary search), CP,OOP",3,2,4
118,FLIPKART,SDE,ALL,7,"DSA (DP, graph, sliding window, trees, binary search), CP",3,4,6
119,Fidelity Investment,,ALL,7,,3,3,5
120,Finmechanics,Finance,ALL,7,"Logical Thinking. DSA, Strong Communication Skills",3,3,5
121,Insurity,AI,"AI,CSE,EE,ECE,MA",7.5,"DSA (DP, graph, sliding window, trees, binary search), CP,AI-ML Experience, Deep Learning",3,3,5
122,Meesho,SDE,ALL,7.5,"DSA (DP, graph, sliding window, trees, binary search), CP",3,4,6
123,Limechat,SDE,ALL,7,,3,3,5
124,Info Edge,SDE,ALL,,"DSA (DP, graph, sliding window, trees, binary search), CP",3,2,5
125,Pattern,SDE,ALL,,"DSA (DP, graph, sliding window, trees, binary search), CP",3,4,6
126,Siemens,EDA,"CS,ECE,EE",7,"C, C++, MATLAB, Python, MySQL, Assembly language, VHDL, Verilog.
Circuit simulation softwares and CAD: Simulink, LTspice, TINA-TI, Solidworks, Cadence, ADEL, Proteus, Atmel Studio, Xilinx, Motorcad.",4,4,6
127,Eternal,SDE,ALL,7,"DSA (DP, graph, sliding window, trees, binary search), CP",4,4,6
128,Purplle,Non-tech,ALL,7,,4,2,4
130,American Express,SDE,ALL,8.5+ preferably,"DSA (DP, graph, sliding window, trees, binary search), CP",1,3,7
131,Goldman Sachs(GS),SDE,ALL,8,"DSA (DP, graph, sliding window, trees, binary search), CP",1,2,5
132,Goldman Sachs(GS),Data,ALL,8,"Machine Learning, Deep Learning, DSA, OS, Computer Architecture, CP",1,2,5
133,Goldman Sachs(GS),Quant,ALL,8,"DSA (DP, graph, sliding window, trees, binary search), CP,Probability",1,2,5
134,Graviton Research Capital,Quant,"CSE, MNC, EE, ECE",8.5,"CP (DP, Graph, Segment trees), Probability",1,2,5
135,Trexquant,Quant,ALL,8.5,"Machine Learning, Deep Learning, DSA,CP,Probability",1,1,4
